Cod_ID,UDH_Atlas,NOME_UDH,ANO,ESPVIDA,FECTOT,MORT1,MORT5,SOBRE40,SOBRE60,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FBBAS,T_FBFUND,T_FBMED,T_FBSUPER,T_FLBAS,T_FLFUND,T_FLMED,T_FLSUPER,T_FREQ0A5,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ5A6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQMED1824,T_FUND11A13,T_FUND15A17,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,CPR,EMP,P_FORMAL,TRABCC,TRABPUB,TRABSC,P_FUND,P_MED,P_SUPER,REN0,REN1,REN2,REN3,REN5,RENOCUP,THEILtrab,T_ATIV,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,AGUA_ESGOTO,PAREDE,T_CRIFUNDIN_TODOS,T_FORA0A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_M10A17CF,T_MULCHEFEFIF014,T_NESTUDA_NTRAB_MMEIO,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,T_VULNERA_NESTUDA_NTRAB_MMEIO,T_VULNERA_MULCHEFE,T_VULNERA_RMAXIDOSO,T_VULNERA_OCUPDESLOC_13,HOMEM0A4,HOMEM10A14,HOMEM15A19,HOMEM20A24,HOMEM25A29,HOMEM30A34,HOMEM35A39,HOMEM40A44,HOMEM45A49,HOMEM50A54,HOMEM55A59,HOMEM5A9,HOMEM60A64,HOMEM65A69,HOMEM70A74,HOMEM75A79,HOMENS80,HOMEMTOT,MULH0A4,MULH10A14,MULH15A19,MULH20A24,MULH25A29,MULH30A34,MULH35A39,MULH40A44,MULH45A49,MULH50A54,MULH55A59,MULH5A9,MULH60A64,MULH65A69,MULH70A74,MULH75A79,MULHER80,MULHERTOT,PEA,PEA1014,PEA1517,PEA18M,PESO1,PESO1114,PESO1113,PESO1214,PESO13,PESO15,PESO1517,PESO1524,PESO1618,PESO18,PESO1820,PESO1824,PESO1921,PESO25,PESO4,PESO5,PESO6,PESO610,PESO617,PESO65,PESOM1014,PESOM1517,PESOM15M,PESOM25M,PESORUR,PESOTOT,PESOURB,PIA,PIA1014,PIA1517,PIA18M,POP,POPT,MULCHEFEFDOM,DOMVULNERACOMID,POPVULNERAVEL15A24,OCUPMMEIOD,T_FBFUND_tudo,T_FBMED_tudo,T_FBBAS_tudo,T_FLFUND_tudo,T_FLMED_tudo,T_FLBAS_tudo,T_FUND11A13_tudo,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
1431490200001,1431490200001,Restinga : Morro Sul,2000,,,,,,,,,,0.00,0.00,10.57,2.44,11.54,0.00,13.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.71,,,,,,,,,,,,,,,,,,,,,,,24,20,15,13,16,18,9,13,7,8,5,28,3,3,5,1,4,192,23,16,16,16,13,17,9,9,8,5,7,13,2,1,1,2,1,159,,,,,9,33,24,23,29,227,19,60,21,208,14,41,15,167,9,8,4,36,88,18,16,10,107,75,351,351,0,,,,,,,,,,,,,,,,,,,,,,,
1431490200002,1431490200002,Restinga : Pitinga,2000,68.53,2.81,25.90,30.05,90.36,73.69,67.90,3.58,8.70,1.68,2.86,8.76,0.59,9.35,0.00,12.10,27.56,20.51,98.40,112.12,50.22,2.14,87.79,91.21,24.73,1.84,14.45,81.21,26.17,6.72,46.22,93.31,90.63,50.10,8.79,11.14,63.70,31.47,41.12,30.20,27.61,5.88,8.00,8.97,9.20,0.50,131.77,210.34,308.43,502.66,683.23,0.46,6.86,10.41,21.72,30.02,48.63,59.82,35.00,4.42,51.03,13.47,27.62,48.97,70.06,10.39,7.58,369.07,81.54,1291.77,167.06,261.16,393.91,941.66,371.96,41.07,85.84,143.82,0.38,0.31,14.00,16.76,0.00,57.13,0.34,10.24,26.43,0.91,55.11,47.18,2.52,22.09,34.75,11.77,0.63,1.49,37.78,78.49,91.25,98.55,756.52,0.19,,6.81,37.08,79.68,72.90,79.04,,48.35,44.23,34.08,19.21,25.56,76.63,82.15,46.89,98.50,99.93,3.32,,54.14,85.55,6.69,48.60,29.97,51.37,4.24,70.40,15.50,,0.89,0.07,32.39,45.83,26.58,,86,64,56,60,43,51,41,37,32,16,21,67,9,6,5,5,2,601,83,75,65,58,49,46,38,38,33,18,13,78,8,15,5,3,3,628,,9,26,515,29,119,96,91,98,776,70,239,69,706,81,169,75,537,42,36,28,129,318,44,75,43,392,269,1229,1229,0,915,139,70,706,1215,,,,,,118.41,58.17,105.06,93.31,27.73,90.63,83.10,0.302,0.368,0.536,0.345,0.726,0.616
1431490200003,1431490200003,Hípica : Moradas da Hípica,2000,73.18,2.16,16.80,19.52,93.59,81.34,44.15,1.68,9.90,1.41,0.00,2.11,0.71,2.24,0.00,2.59,22.33,14.84,97.15,109.69,61.50,10.14,85.50,88.29,37.01,4.89,16.48,81.15,23.47,8.43,51.87,93.93,90.61,35.21,6.59,8.62,75.95,45.86,60.73,46.59,43.47,19.87,26.93,23.69,22.98,2.66,227.74,338.36,504.62,761.32,1045.34,0.43,1.52,3.05,7.98,14.63,25.14,37.66,33.51,5.24,48.99,15.16,29.73,51.01,77.30,8.84,6.46,569.06,148.96,1906.64,282.46,414.42,605.56,1393.89,569.06,54.78,91.90,167.00,0.33,1.32,13.99,7.81,0.12,63.33,0.81,11.77,21.94,1.97,66.73,52.64,5.71,17.17,53.66,27.85,2.93,0.59,31.97,67.56,82.01,94.77,1101.01,0.35,,3.86,49.54,78.81,68.68,81.45,,33.59,61.26,20.38,13.96,16.84,100.00,95.30,35.25,99.29,99.56,0.15,,29.00,83.52,6.07,27.56,10.08,38.28,2.46,49.95,5.71,,1.84,0.44,26.96,23.78,66.50,,65,54,35,43,76,65,53,29,26,15,14,49,7,3,4,1,0,539,63,31,40,69,66,73,60,39,22,30,13,66,11,7,3,0,1,594,,3,23,521,27,71,54,49,75,805,46,187,43,759,53,141,59,618,26,27,30,102,219,19,31,23,434,325,0,1133,1133,890,85,46,759,1133,,,,,,119.00,72.56,106.91,93.93,42.88,91.28,88.71,0.466,0.484,0.641,0.478,0.803,0.685
1431490200004,1431490200004,Lomba do Pinheiro : Parque dos Eucaliptos / Vila Pitinga,2000,68.62,2.80,25.70,29.84,90.43,73.83,59.01,6.72,8.34,2.63,0.00,9.49,3.23,10.19,3.03,11.52,28.57,20.76,94.58,106.59,45.98,1.17,84.42,87.71,25.23,1.17,13.33,77.36,23.00,6.54,52.90,91.38,88.60,45.89,8.21,6.42,58.11,29.91,39.27,29.32,26.35,11.62,10.72,9.57,9.23,0.59,109.81,195.21,286.31,453.86,588.23,0.53,10.66,14.13,28.30,36.97,54.91,65.95,42.48,3.48,56.56,11.60,24.30,43.44,83.44,14.64,9.75,369.82,64.34,1570.82,150.22,234.78,353.95,1045.83,375.27,41.11,81.10,138.71,0.50,0.57,14.07,16.94,0.00,54.53,0.72,10.27,28.09,0.60,57.01,45.40,4.62,20.65,34.93,11.43,1.04,0.63,44.87,83.44,92.51,97.60,906.55,0.44,,4.83,53.77,76.51,74.12,82.27,,47.00,65.65,29.87,18.69,14.36,73.01,81.79,53.39,97.54,98.96,4.14,,56.78,86.67,8.62,52.00,35.60,50.89,4.62,60.11,17.31,,1.65,1.04,32.49,42.94,48.24,,17,27,18,15,17,16,17,17,15,12,7,25,9,5,6,2,1,224,26,21,19,16,16,19,15,18,11,12,5,20,9,9,3,2,3,223,,2,12,215,10,38,25,27,26,311,22,68,23,290,19,47,16,243,7,10,9,46,105,30,21,11,156,121,447,447,0,359,48,22,290,447,,,,,,116.86,52.86,104.17,91.38,25.63,88.68,79.15,0.293,0.381,0.539,0.349,0.727,0.616
1431490200005,1431490200005,Hípica : Edgar Pires de Castro / Juca Batista / Dorival Castilho Machado,2000,75.77,1.77,12.70,14.84,95.07,85.21,41.09,5.96,11.34,1.59,0.38,2.87,0.97,3.07,1.51,3.57,9.37,6.11,101.17,100.14,103.85,37.37,88.71,89.63,59.46,19.25,30.16,83.53,32.80,24.43,58.70,95.48,92.16,18.88,1.96,8.59,90.65,68.78,84.11,70.52,67.12,53.95,59.94,49.62,47.04,10.94,312.33,585.63,937.00,1483.59,2109.56,0.45,0.83,1.82,3.91,8.63,13.06,25.78,32.54,4.06,49.79,12.72,27.41,50.21,74.66,10.23,7.83,1020.02,207.19,3319.27,441.44,749.34,1162.94,2539.20,1020.02,32.17,95.81,164.19,0.38,0.43,17.76,4.90,0.00,65.93,0.50,9.88,24.97,3.80,70.30,48.55,8.66,13.45,78.06,57.23,12.19,0.57,15.71,48.13,62.12,82.34,1688.13,0.36,,4.62,33.85,85.14,71.00,88.78,,31.37,50.32,31.10,14.22,13.00,99.67,97.34,19.74,99.74,100.00,0.06,,12.10,69.84,4.52,11.23,3.92,21.48,0.51,17.40,4.01,,1.84,0.00,31.99,7.93,97.67,,213,281,302,280,249,201,241,200,205,177,132,230,86,77,43,14,10,2940,234,228,296,299,248,228,277,265,218,190,132,234,118,72,67,39,43,3188,,24,118,3094,81,418,319,320,272,4707,349,1177,387,4358,371,828,359,3531,94,104,92,452,1219,365,228,171,2491,1896,0,6128,6128,5216,509,349,4358,6102,,,,,,107.40,117.28,110.14,95.48,63.09,92.53,94.73,0.705,0.68,0.768,0.688,0.846,0.779
1431490200006,1431490200006,Ipanema : Rossatos / Biazetto,2000,74.28,1.86,15.00,17.43,94.25,83.03,47.21,5.42,9.72,0.65,1.46,4.19,0.94,4.41,1.07,5.28,17.72,12.38,96.08,101.64,77.37,16.97,85.70,89.60,45.40,8.08,10.34,78.26,21.34,12.06,47.12,92.93,89.57,25.37,3.44,6.95,74.82,55.50,61.59,51.20,48.59,29.31,32.29,30.13,29.59,4.34,225.95,369.73,585.63,845.91,1281.87,0.46,1.62,2.94,8.51,13.91,23.17,35.04,35.78,4.45,51.24,13.57,27.50,48.76,78.91,10.55,7.55,656.05,146.09,2347.21,298.92,457.11,697.48,1680.66,656.45,54.22,97.60,158.61,0.38,0.33,17.80,8.43,0.00,63.83,0.52,7.98,26.92,2.31,63.41,48.30,6.78,13.33,59.32,36.90,5.00,2.35,26.94,63.68,76.52,90.57,1242.49,0.38,,4.86,44.06,77.73,71.68,84.18,,62.52,56.38,30.59,14.59,13.92,99.56,92.32,34.27,97.93,99.88,1.29,,29.00,89.66,7.07,24.56,9.99,35.66,4.66,53.54,11.13,,0.54,0.12,49.72,27.10,33.01,,181,199,216,189,156,147,155,164,114,116,84,203,55,48,30,18,6,2077,189,184,231,192,173,142,194,174,132,142,82,194,78,55,32,21,26,2237,,19,105,2097,82,307,242,223,211,3165,239,827,264,2926,286,588,247,2338,77,87,72,385,931,234,184,118,1671,1249,0,4314,4314,3548,383,239,2926,4314,,,,,,112.29,86.02,106.27,92.93,48.17,89.78,85.63,0.512,0.517,0.669,0.515,0.821,0.708
1431490200007,1431490200007,Ipanema ( bairro),2000,77.66,1.22,10.20,11.91,96.02,87.81,40.67,10.63,12.30,0.81,0.57,1.56,0.47,1.63,1.23,1.87,8.52,3.62,97.22,103.12,86.35,75.39,88.20,91.51,63.50,42.38,45.45,87.80,52.86,30.08,78.03,97.90,94.35,11.82,0.43,6.02,89.06,81.95,94.42,82.04,79.50,68.38,80.24,70.55,68.57,32.63,618.81,1220.06,1983.32,3220.95,4359.67,0.50,0.45,0.84,1.20,3.34,4.70,10.58,37.08,3.19,52.88,11.14,25.21,47.12,65.86,13.32,9.49,2318.72,369.47,8597.72,921.93,1631.85,2540.17,6130.19,2318.72,42.11,85.51,162.41,0.48,0.38,18.31,3.82,0.00,69.11,0.58,6.76,24.04,9.05,71.03,42.13,9.05,14.08,88.46,81.58,36.75,1.91,10.95,32.89,42.46,59.98,3408.21,0.56,,1.40,30.71,69.14,64.05,86.75,,44.08,38.04,23.82,11.88,13.36,100.00,99.53,9.52,100.00,100.00,0.00,,9.42,54.55,2.10,7.58,1.49,14.00,0.68,19.37,1.45,,0.82,0.00,35.52,7.30,100.00,,189,226,317,311,235,178,214,250,200,215,178,201,130,106,99,33,31,3113,165,239,298,281,253,195,293,286,270,261,192,195,169,157,110,83,88,3535,,7,108,3255,64,371,264,282,206,5433,351,1207,389,5082,372,856,367,4226,84,76,80,414,1136,707,239,176,2936,2357,0,6648,6648,5898,465,351,5082,6617,,,,,,107.81,108.81,108.16,97.90,80.27,96.19,91.74,0.82,0.794,0.863,0.803,0.878,0.911
1431490200008,1431490200008,Tristeza,2000,77.69,1.22,10.20,11.86,96.03,87.85,41.17,9.85,12.04,0.72,0.73,1.58,0.60,1.63,0.85,1.83,7.44,4.36,99.62,103.68,88.99,73.32,92.12,93.47,63.93,34.77,45.99,92.45,46.66,33.67,86.26,97.70,96.25,15.49,2.47,5.59,87.28,80.79,83.86,80.11,79.40,66.86,71.21,68.50,67.99,34.64,539.26,1116.60,1952.09,3269.75,5309.68,0.52,0.28,0.83,0.77,1.15,4.77,8.87,37.35,2.91,55.32,9.93,22.94,44.68,70.44,15.04,11.14,2364.92,344.07,8833.95,830.41,1538.07,2570.74,6541.29,2364.92,58.95,84.27,182.11,0.51,0.61,15.75,4.59,0.00,71.53,0.40,6.29,25.14,7.39,69.41,41.21,10.12,13.92,85.91,76.44,38.41,2.37,12.65,31.41,39.39,57.95,3600.96,0.57,,1.90,27.33,68.94,69.53,88.56,,23.35,45.16,21.96,10.85,13.58,99.96,99.93,14.68,100.00,100.00,0.00,,11.09,54.01,2.30,8.45,2.27,14.35,1.37,18.28,2.55,,0.88,0.00,40.03,8.79,89.85,,412,526,594,578,433,445,601,573,509,405,275,435,210,169,148,92,79,6484,410,498,593,593,508,519,718,688,588,492,323,418,253,293,253,161,181,7489,,19,187,7362,149,830,609,643,519,11274,686,2358,718,10588,761,1672,724,8916,154,197,155,850,2366,1376,498,338,6163,4977,0,13973,13973,12298,1024,686,10588,13897,,,,,,108.28,99.55,105.86,97.70,78.31,97.11,94.84,0.801,0.803,0.863,0.802,0.878,0.914
1431490200009,1431490200009,Cascata : Santiago Dantas,2000,75.77,1.77,12.70,14.84,95.07,85.21,45.20,9.85,11.34,1.31,0.74,3.12,0.92,3.29,0.00,3.80,9.37,6.11,101.17,100.14,103.85,37.37,88.71,89.63,59.46,19.25,30.16,83.53,32.80,24.43,58.70,95.48,92.16,18.88,1.96,8.59,90.65,68.78,84.11,70.52,67.12,53.95,59.94,49.62,47.04,10.94,312.33,585.63,937.00,1483.59,2109.56,0.45,0.83,1.82,3.91,8.63,13.06,25.78,32.54,4.06,49.79,12.72,27.41,50.21,74.66,10.23,7.83,1020.02,207.19,3319.27,441.44,749.34,1162.94,2539.20,1020.02,32.17,95.81,164.19,0.38,0.43,17.76,4.90,0.00,65.93,0.50,9.88,24.97,3.80,70.30,48.55,8.66,13.45,78.06,57.23,12.19,0.57,15.71,48.13,62.12,82.34,1688.13,0.36,,4.62,33.85,85.14,71.00,88.78,,31.37,50.32,31.10,14.22,13.00,99.76,97.34,19.74,99.74,100.00,0.06,,12.10,69.84,4.52,11.23,3.92,21.48,0.51,17.40,4.01,,1.84,0.00,31.99,7.93,97.67,,80,98,123,115,91,78,82,79,85,62,48,90,44,34,29,14,9,1161,92,94,106,118,104,85,105,100,97,82,69,84,68,45,47,33,38,1367,,9,46,1316,34,153,121,117,97,1990,136,462,134,1854,144,326,150,1528,41,33,34,180,469,249,94,70,1097,873,0,2528,2528,2182,192,136,1854,2507,,,,,,107.40,117.28,110.14,95.48,63.09,92.53,94.73,0.705,0.68,0.768,0.688,0.846,0.779
1431490200010,1431490200010,Belém Velho : Hospital Parque Belém,2000,74.22,1.96,15.10,17.54,94.21,82.93,51.07,8.76,10.11,0.74,2.75,4.58,0.00,4.73,0.00,5.70,21.52,15.32,101.39,110.93,76.58,11.24,87.44,91.27,38.37,6.95,21.24,82.47,31.24,5.98,60.46,95.64,91.98,36.10,5.01,12.83,76.74,45.67,73.30,51.43,45.39,22.18,33.71,25.95,23.80,2.97,226.44,356.26,536.82,794.01,1143.37,0.48,0.94,0.96,9.04,14.61,26.20,37.60,38.43,4.51,53.09,13.39,26.91,46.91,77.36,11.48,7.93,649.74,146.54,2496.67,288.39,439.14,649.81,1724.82,652.43,28.00,102.51,169.07,0.40,3.40,17.61,6.91,0.00,61.67,0.28,8.47,23.21,1.81,70.72,55.00,5.26,13.81,58.42,29.99,2.13,0.91,26.17,68.74,81.35,93.63,1158.41,0.37,,3.98,39.18,86.52,73.40,81.66,,25.23,46.86,23.60,13.83,14.04,99.43,95.49,28.64,99.21,99.89,0.83,,21.64,78.76,4.36,22.11,8.42,31.78,1.37,40.71,8.99,,1.24,0.11,33.38,21.77,33.56,,65,87,96,70,57,56,80,60,59,48,36,73,36,21,25,14,8,891,83,82,89,69,61,77,89,64,58,46,36,70,29,34,28,14,17,946,,7,43,931,23,135,106,101,98,1377,109,324,119,1268,100,215,94,1053,27,34,23,143,387,161,82,59,711,553,0,1837,1837,1546,169,109,1268,1745,,,,,,117.35,98.71,112.17,95.64,42.20,92.20,86.73,0.514,0.513,0.667,0.513,0.82,0.707
