socialName,address,postalCode,neighborhood,activity,pnudId,type,lat,lng
BERNADETE BATISTA DE MELLO,AC G UM LOT WENCESLAU FONTOURA- 35,91250000,MARIO QUINTANA,ARMAZEM,18,MIX,-51.14801,-30.15606
BERNADETE BATISTA DE MELLO,AC G UM LOT WENCESLAU FONTOURA- 35,91250000,MARIO QUINTANA,BAR/CAFE,18,MIX,-51.14801,-30.15606
FRANCISCO DE ASSIS FARIAS SOARES,AC K SQ UM SEGUNDA UV VL N RESTINGA- 2100,91793680,RESTINGA,ARMAZEM,27,MIX,-51.14186,-30.1601
MINIMERCADO H M LTDA,AC SEIS QF QUARTA UV VL N RESTINGA- 4221,91795040,RESTINGA,MINI-MERCADO,27,MIX,-51.14186,-30.1601
ILSE MARIA SCHIMITT NAIBER,AC TRES QG QUARTA UV VL N RESTINGA- 4401,91790000,RESTINGA,LANCHERIA,27,ULTRA,-51.14186,-30.1601
MARIA SANTA FOGACA PADILHA - ME,AC Z SQ TRES SEGUNDA UV VL N RESTINGA- 2229,91792020,RESTINGA,LANCHERIA,27,ULTRA,-51.14186,-30.1601
MARIA SANTA FOGACA PADILHA - ME,AC Z SQ TRES SEGUNDA UV VL N RESTINGA- 2229,91792020,RESTINGA,SORVETERIA,27,ULTRA,-51.14186,-30.1601
VINHOS DO MUNDO COMERCIO DE BEBIDAS LTDA,AL ALIPIO CESAR- 203,91340310,BOA VISTA,BAR/CAFE,220,MIX,-51.17804,-30.02765
IGUANA CAFE ESPECIALIDADES E TRAVESSURAS LTDA,AL ALIPIO CESAR- 203,91340310,BOA VISTA,BAR/CAFE/LANCHERIA,220,MIX,-51.17804,-30.02765
IGUANA CAFE ESPECIALIDADES E TRAVESSURAS LTDA,AL ALIPIO CESAR- 203,91340310,BOA VISTA,RESTAURANTE,220,MIX,-51.17804,-30.02765
VINHOS DO MUNDO COMERCIO DE BEBIDAS LTDA,AL ALIPIO CESAR- 203,91340310,BOA VISTA,RESTAURANTE E PIZZARIA SEM FORNO A LENHA,220,MIX,-51.17804,-30.02765
COMERCIAL DE ALIMENTOS KET EIRELI - EPP,AL ALIPIO CESAR- 22,91340310,BOA VISTA,BAR/CAFE/LANCHERIA,220,MIX,-51.17804,-30.02765
COMERCIAL DE ALIMENTOS KET EIRELI - EPP,AL ALIPIO CESAR- 22,91340310,BOA VISTA,RESTAURANTE E PIZZARIA SEM FORNO A LENHA,220,MIX,-51.17804,-30.02765
LEBRE CAFE E BAR LTDA ME,AL MAJOR FRANCISCO BARCELOS- 127,91340390,BOA VISTA,RESTAURANTE E PIZZARIA SEM FORNO A LENHA,220,MIX,-51.17984,-30.02857
DE LIMA & LOCHS LTDA,AL MAJOR FRANCISCO BARCELOS- 50,91340390,BOA VISTA,RESTAURANTE E PIZZARIA SEM FORNO A LENHA,220,MIX,-51.17984,-30.02857
RADY HAIR COMERCIO DE PERFUMARIA LTDA,AL MAJOR FRANCISCO BARCELOS- 65,91340390,BOA VISTA,BAR/CAFE/LANCHERIA,220,MIX,-51.17984,-30.02857
KRUGER E STRAPASSON LTDA,AL RAIMUNDO CORREA- 176,91340440,BOA VISTA,RESTAURANTE E PIZZARIA SEM FORNO A LENHA,220,MIX,-51.18063,-30.02624
BOLACHA MARIA COM DE VESTUARIO E ARTIGOS DECORATIVOS LTDA,AL SEBASTIAO DE BRITO- 147/1,91340460,BOA VISTA,LOJA DE CONVENIENCIA,220,ULTRA,-51.179,-30.02829
GKN COMERCIO DE ALIMENTOS LTDA ME,AL SEBASTIAO DE BRITO- 24,91340460,BOA VISTA,RESTAURANTE E PIZZARIA SEM FORNO A LENHA,220,MIX,-51.179,-30.02829
FERMENTO BIOLOGICO GOLD INSTANT LTDA,AL TRES DE OUTUBRO- 162,91130470,SARANDI,PADARIA SEM UTILIZACAO DE FORNO A LENHA,209,MIX,-51.19764,-30.02352
ARMAZEM DO PAULINHO LTDA,AL TRES DE OUTUBRO- 390,91130470,SARANDI,ARMAZEM,209,MIX,-51.19764,-30.02352
VERDES CAMPOS COM DE GENEROS ALIMENTICIOS LTDA ME,AL TRES DE OUTUBRO- 390,91130470,SARANDI,ARMAZEM,209,MIX,-51.19764,-30.02352
COMERCIO DE BEBIDAS ALAMEDA LP LTDA,AL TRES DE OUTUBRO- 52,91130470,SARANDI,MINI-MERCADO,209,MIX,-51.19764,-30.02352
TRAVELERS CORNER LTDA,AL VICENTE DE CARVALHO- 7,91340490,BOA VISTA,LANCHERIA,220,ULTRA,-51.1802,-30.02542
GREEK DONNER SABOR GRECO BAR E RESTAURANTE LTDA,AL VICENTE DE CARVALHO- 7,91340490,BOA VISTA,RESTAURANTE E PIZZARIA SEM FORNO A LENHA,220,MIX,-51.1802,-30.02542
LOURDES RODRIGUES DE LIMA DA SILVA-ME,AV A J RENNER- 1118,90245000,FARRAPOS,MINI-MERCADO,226,MIX,-51.19172,-29.97926
COMERCIAL BUFFON COMBUSTIVEIS E TRANSPORTES LIMITADA,AV A J RENNER- 1200,90245000,FARRAPOS,LOJA DE CONVENIENCIA,72,ULTRA,-51.19144,-29.9779
FRIGORIFICO EXTREMO SUL S/A,AV A J RENNER- 1342,90250000,FARRAPOS,ALIMENTOS,72,UNDEFINED,-51.19144,-29.9779
AGUAS DA SERRA COM E DIST DE BEBIDAS E PROD ALIMENT LTDA,AV A J RENNER- 1370,90250000,FARRAPOS,BEBIDAS,73,UNDEFINED,-51.19375,-29.98515
PAULO VARGAS RODRIGUES,AV A J RENNER- 1500,90250000,FARRAPOS,ARMAZEM,226,MIX,-51.19345,-29.9847
LUIS CARLOS DE OLIVEIRA ME,AV A J RENNER- 1570,90250000,FARRAPOS,BEBIDAS,73,UNDEFINED,-51.19375,-29.98515
LUIS CARLOS DE OLIVEIRA ME,AV A J RENNER- 1570,90250000,FARRAPOS,CEREAIS,73,UNDEFINED,-51.19375,-29.98515
WMS SUPERMERCADOS DO BRASIL LTDA,AV A J RENNER- 1603,90250000,HUMAITA,BAR/CAFE/LANCHERIA,73,MIX,-51.19375,-29.98515
MARCO AURELIO DE MESQUITA FERREIRA ME,AV A J RENNER- 1603,90250000,HUMAITA,LANCHERIA,73,ULTRA,-51.19375,-29.98515
WMS SUPERMERCADOS DO BRASIL LTDA,AV A J RENNER- 1603,90250000,HUMAITA,SUPERMERCADO,73,MIX,-51.19375,-29.98515
PAULO RENATO POSTAL,AV A J RENNER- 1603/4,90250000,HUMAITA,BAR/CAFE/LANCHERIA,73,MIX,-51.19375,-29.98515
SILVIO LEANDRO ROSA DOS SANTOS CAFETERIA,AV A J RENNER- 1603/4,90250000,HUMAITA,CAFETERIA,73,ULTRA,-51.19375,-29.98515
FABIANE FAGUNDES AIRES,AV A J RENNER- 1723,90250000,HUMAITA,LANCHERIA,72,ULTRA,-51.19144,-29.9779
FABIANE FAGUNDES AIRES,AV A J RENNER- 1723,90250000,HUMAITA,RESTAURANTE,72,MIX,-51.19144,-29.9779
ORAIDES TEREZINHA CASTRO SCHMITT,AV A J RENNER- 1733/5,90250000,HUMAITA,BEBIDAS,73,UNDEFINED,-51.19375,-29.98515
GUILHERME OGLIARI RODRIGUES,AV A J RENNER- 2242,90250000,FARRAPOS,BAR/CAFE/LANCHERIA,72,MIX,-51.19144,-29.9779
AUTO POSTO BOA VIAGEM LTDA,AV A J RENNER- 2255,90250000,HUMAITA,LOJA DE CONVENIENCIA,72,ULTRA,-51.19144,-29.9779
CTL - CLUBE DE TREINAMENTO E LAZER LTDA,AV A J RENNER- 400,90245000,HUMAITA,BAR/CAFE/LANCHERIA,227,MIX,-51.19513,-29.98997
IRLAN FERREIRA GON�ALVES,AV ADELINO FERREIRA JARDIM- 274,91250310,RUBEM BERTA,BAR/CAFE,88,MIX,-51.1029,-30.02088
IRLAN FERREIRA GON�ALVES,AV ADELINO FERREIRA JARDIM- 274,91250310,RUBEM BERTA,BAR/CAFE/LANCHERIA,88,MIX,-51.1029,-30.02088
IRLAN FERREIRA GON�ALVES,AV ADELINO FERREIRA JARDIM- 274,91250310,RUBEM BERTA,LANCHERIA,88,ULTRA,-51.1029,-30.02088
CLEO MOREIRA DA ROSA EIRELI,AV ADELINO FERREIRA JARDIM- 443,91250310,RUBEM BERTA,BAR/CAFE/LANCHERIA,88,MIX,-51.1029,-30.02088
CLEO MOREIRA DA ROSA EIRELI,AV ADELINO FERREIRA JARDIM- 443,91250310,RUBEM BERTA,CASA DE CHA,88,UNDEFINED,-51.1029,-30.02088
EROTICOS VIDEOS LTDA-ME,AV ALBERTO BINS- 1062,90030141,FLORESTA,BAR-CHOPP,217,MIX,-51.21658,-30.02792
PANIFICIO PAO DE OURO LTDA,AV ALBERTO BINS- 1064,90030141,FLORESTA,CONFEITARIA/BOMBONIERE,217,ULTRA,-51.21658,-30.02792
ANGELINA COMERCIO DE ARTIGOS PARA CONFEITARIA LTDA - EPP,AV ALBERTO BINS- 308/11,90030140,CENTRO HISTORIC,BALAS E DOCES,217,ULTRA,-51.21658,-30.02792
TAIS SILVA SERAFIM,AV ALBERTO BINS- 320,90030140,CENTRO HISTORIC,BAR/CAFE/LANCHERIA,198,MIX,-51.22325,-30.02838
JFZ LANCHERIA E CAFETERIA LTDA,AV ALBERTO BINS- 320,90030140,CENTRO HISTORIC,LANCHERIA,198,ULTRA,-51.22325,-30.02838
DISTRIBUIDORA DE ALIMENTOS TOP LTDA - ME,AV ALBERTO BINS- 333,90030142,CENTRO HISTORIC,ARMAZEM,198,MIX,-51.22325,-30.02838
LANCHERIA RESTAURANTE BINS 357 LTDA,AV ALBERTO BINS- 357,90030142,CENTRO HISTORIC,RESTAURANTE E PIZZARIA SEM FORNO A LENHA,198,MIX,-51.22181,-30.02828
JOSEMAR BERNARDES DA SILVA ME,AV ALBERTO BINS- 359,90030142,CENTRO HISTORIC,BAR/CAFE/LANCHERIA,198,MIX,-51.22181,-30.02828
MARCELO OTAVIO FACHINI,AV ALBERTO BINS- 359,90030142,CENTRO HISTORIC,CONFEITARIA,198,ULTRA,-51.22181,-30.02828
MARCELO OTAVIO FACHINI,AV ALBERTO BINS- 359,90030142,CENTRO HISTORIC,LANCHERIA,198,ULTRA,-51.22181,-30.02828
JOSEMAR BERNARDES DA SILVA ME,AV ALBERTO BINS- 359,90030142,CENTRO HISTORIC,RESTAURANTE E PIZZARIA SEM FORNO A LENHA,198,MIX,-51.22181,-30.02828
BAR E RESTAURANTE QUINTAL DA ALBERTO LTDA - EPP,AV ALBERTO BINS- 371,90030142,CENTRO HISTORIC,BAR/CAFE/LANCHERIA,217,MIX,-51.21658,-30.02792
DALFRA PADARIA E LANCHERIA LTDA - ME,AV ALBERTO BINS- 371,90030142,CENTRO HISTORIC,BAR/CAFE/LANCHERIA,217,MIX,-51.21658,-30.02792
RESTAURANTE BONI LTDA,AV ALBERTO BINS- 371,90030142,CENTRO HISTORIC,BAR/CAFE/LANCHERIA,217,MIX,-51.21658,-30.02792
VANDERLEI FACHINI-ME,AV ALBERTO BINS- 371,90030142,CENTRO HISTORIC,BAR/CAFE/LANCHERIA,217,MIX,-51.21658,-30.02792
DALFRA PADARIA E LANCHERIA LTDA - ME,AV ALBERTO BINS- 371,90030142,CENTRO HISTORIC,PADARIA SEM UTILIZACAO DE FORNO A LENHA,217,MIX,-51.21658,-30.02792
VANDERLEI FACHINI-ME,AV ALBERTO BINS- 371,90030142,CENTRO HISTORIC,RESTAURANTE,217,MIX,-51.21658,-30.02792
BAR E RESTAURANTE QUINTAL DA ALBERTO LTDA - EPP,AV ALBERTO BINS- 371,90030142,CENTRO HISTORIC,RESTAURANTE E PIZZARIA SEM FORNO A LENHA,217,MIX,-51.21658,-30.02792
DALFRA PADARIA E LANCHERIA LTDA - ME,AV ALBERTO BINS- 371,90030142,CENTRO HISTORIC,RESTAURANTE E PIZZARIA SEM FORNO A LENHA,217,MIX,-51.21658,-30.02792
RESTAURANTE BONI LTDA,AV ALBERTO BINS- 371,90030142,CENTRO HISTORIC,RESTAURANTE E PIZZARIA SEM FORNO A LENHA,217,MIX,-51.21658,-30.02792
LANCHERIA E RESTAURANTE TENTACAO LTDA,AV ALBERTO BINS- 382,90030140,CENTRO HISTORIC,BAR/CAFE/LANCHERIA,198,MIX,-51.22325,-30.02838
LANCHERIA E RESTAURANTE TENTACAO LTDA,AV ALBERTO BINS- 382,90030140,CENTRO HISTORIC,RESTAURANTE,198,MIX,-51.22325,-30.02838
J L VEZENTINI & CIA LTDA,AV ALBERTO BINS- 410,90030140,CENTRO HISTORIC,BAR/CAFE/LANCHERIA,217,MIX,-51.21658,-30.02792
